Sentence,Translation,Cloze,Pronunciation,Note,Register,KeyMeaning,PitchAccent,Audio
予約したいのですが。,I'd like to make a reservation.,予約,予約【よやく】したいのですが。,Restaurant,polite,reservation,"<ruby class=""vocab"">予約<rt><span class=""pitch-l"">よ</span><span class=""pitch-h"">や</span><span class=""pitch-h"">く</span></rt></ruby>",
何名様ですか?,How many people?,何名様,何【なん】名【めい】様【さま】ですか?,Restaurant,polite,how many people,"<ruby class=""vocab"">何名様<rt>なんめいさま</rt></ruby>",
2名です。,Two people.,2名,2名【めい】です。,Restaurant,polite,two people,"<ruby class=""vocab"">2名<rt>めい</rt></ruby>",
禁煙席をお願いします。,Non-smoking section please.,禁煙席,禁煙【きんえん】席【せき】をお願【ねが】いします。,Restaurant,polite,non-smoking,"<ruby class=""vocab"">禁煙席<rt>きんえんせき</rt></ruby>",
メニューをください。,Menu please.,メニュー,メニューをください。,Restaurant,polite,menu,"<ruby class=""vocab"">メニュー<rt><span class=""pitch-h"">め</span><span class=""pitch-l"">にゅ</span><span class=""pitch-l"">ー</span></rt></ruby>",
注文をお願いします。,I'd like to order.,注文,注文【ちゅうもん】をお願【ねが】いします。,Restaurant,polite,order,"<ruby class=""vocab"">注文<rt><span class=""pitch-l"">ちゅ</span><span class=""pitch-h"">う</span><span class=""pitch-h"">も</span><span class=""pitch-h"">ん</span></rt></ruby>",
おすすめは何ですか?,What do you recommend?,おすすめ,おすすめは何【なん】ですか?,Restaurant,polite,recommendation,"<span class=""vocab"">おすすめ</span>",
これは何が入っていますか?,What's in this?,何が入っている,これは何【なに】が入【はい】っていますか?,Restaurant,polite,what's in it,"<ruby class=""vocab"">何が入っている<rt>なにがはいっている</rt></ruby>",
アレルギーがあるのですが。,I have allergies.,アレルギー,アレルギーがあるのですが。,Restaurant,polite,allergy,"<ruby class=""vocab"">アレルギー<rt><span class=""pitch-l"">あ</span><span class=""pitch-h"">れ</span><span class=""pitch-l"">る</span><span class=""pitch-l"">ぎ</span><span class=""pitch-l"">ー</span></rt></ruby>",
子供用の椅子はありますか?,Do you have a high chair?,子供用の椅子,子供【こども】用【よう】の椅子【いす】はありますか?,Restaurant,polite,high chair,"<ruby class=""vocab"">子供用の椅子<rt>こどもようのいす</rt></ruby>",
お水をください。,Water please.,お水,お水【みず】をください。,Restaurant,polite,water,"<ruby class=""vocab"">お水<rt>みず</rt></ruby>",
お会計をお願いします。,Check please.,お会計,お会計【かいけい】をお願【ねが】いします。,Restaurant,polite,check/bill,"<ruby class=""vocab"">お会計<rt>かいけい</rt></ruby>",
今夜はお寿司にしよう。,Let's go to sushi tonight.,お寿司,今夜【こんや】はお寿司【すし】にしよう。,Restaurant,polite,sushi,"<ruby class=""vocab"">お寿司<rt>すし</rt></ruby>",
持ち帰りできますか?,Can we get this to go?,持ち帰り,持【も】ち帰【かえ】りできますか?,Restaurant,polite,takeout,"<ruby class=""vocab"">持ち帰り<rt><span class=""pitch-l"">も</span><span class=""pitch-h"">ち</span><span class=""pitch-h"">か</span><span class=""pitch-h"">え</span><span class=""pitch-h"">り</span></rt></ruby>",
