sentence,translation,pronunciation,tts_pronunciation,tags,cloze,key_meaning
予約したいのですが。,I'd like to make a reservation.,予約【よやく】したいのですが。,よやくしたいのですが。,restaurant,予約,reservation
何名様ですか?,How many people?,何【なん】名【めい】様【さま】ですか?,なんめいさまですか?,restaurant,何名様,how many people
2名です。,Two people.,2名【めい】です。,2めいです。,restaurant,2名,two people
禁煙席をお願いします。,Non-smoking section please.,禁煙【きんえん】席【せき】をお願い【ねがい】します。,きんえんせきを、おねがいします。,restaurant,禁煙席,non-smoking
メニューをください。,Menu please.,メニューをください。,メニューを、ください。,restaurant,メニュー,menu
注文をお願いします。,I'd like to order.,注文【ちゅうもん】をお願い【ねがい】します。,ちゅうもんを、おねがいします。,restaurant,注文,order
おすすめは何ですか?,What do you recommend?,おすすめは何【なん】ですか?,おすすめはなんですか?,restaurant,おすすめ,recommendation
これは何が入っていますか?,What's in this?,これは何【なに】が入っ【はいっ】ていますか?,これはなにが、はいっていますか?,restaurant,何が入っている,what's in it
アレルギーがあるのですが。,I have allergies.,アレルギーがあるのですが。,アレルギーが、あるのですが。,restaurant,アレルギー,allergy
子供用の椅子はありますか?,Do you have a high chair?,子供【こども】用【よう】の椅子【いす】はありますか?,こどもようのいすはありますか?,restaurant,子供用の椅子,high chair
お水をください。,Water please.,お水【みず】をください。,おみずを、ください。,restaurant,お水,water
お会計をお願いします。,Check please.,お会計【かいけい】をお願い【ねがい】します。,おかいけいを、おねがいします。,restaurant,お会計,check/bill
今夜はお寿司にしよう。,Let's go to sushi tonight.,今夜【こんや】はお寿司【すし】にしよう。,こんやは、おすしにしよう。,restaurant,お寿司,sushi
持ち帰りできますか?,Can we get this to go?,持ち帰り【もちかえり】できますか?,もちかえりできますか?,restaurant,持ち帰り,takeout
ごちそうさまでした。,Thank you for the meal.,ごちそうさまでした。,ごちそうさまでした。,restaurant,ごちそうさま,thanks for meal
今夜は外食しよう。,Let's eat out tonight.,今夜【こんや】は外食【がいしょく】しよう。,こんやはがいしょくしよう。,restaurant,外食,eating out
何が食べたい気分?,What are you in the mood for?,何【なに】が食べ【たべ】たい気分【きぶん】?,なにが、たべたいきぶん?,restaurant,気分,mood
和食と洋食どっちがいい?,Japanese or Western food?,和食【わしょく】と洋食【ようしょく】どっちがいい?,わしょくとようしょくどっちがいい?,restaurant,和食と洋食,Japanese and Western
新しいお店を試してみよう。,Let's try a new place.,新しい【あたらしい】お店【みせ】を試し【ためし】てみよう。,あたらしいおみせを、ためしてみよう。,restaurant,お店,restaurant
口コミで評判がいいお店。,A restaurant with good reviews.,口コミ【くちこみ】で評判【ひょうばん】がいいお店【みせ】。,くちこみでひょうばんが、いいおみせ。,restaurant,評判,reputation
駐車場があるお店がいいな。,I'd like a place with parking.,駐車【ちゅうしゃ】場【じょう】があるお店【みせ】がいいな。,ちゅうしゃじょうが、あるおみせが、いいな。,restaurant,駐車場,parking
子連れでも大丈夫ですか?,Is it okay to bring children?,子連れ【こづれ】でも大丈夫【だいじょうぶ】ですか?,こづれでもだいじょうぶですか?,restaurant,子連れ,with children
個室はありますか?,Do you have private rooms?,個室【こしつ】はありますか?,こしつはありますか?,restaurant,個室,private room
座敷席をお願いします。,Tatami seating please.,座敷【ざしき】席【せき】をお願い【ねがい】します。,ざしきせきを、おねがいします。,restaurant,座敷席,tatami seating
テーブル席でお願いします。,Table seating please.,テーブル席【せき】でお願い【ねがい】します。,テーブルせきでおねがいします。,restaurant,テーブル席,table seating
ベビーカーでも入れますか?,Can I bring a stroller?,ベビーカーでも入れ【いれ】ますか?,ベビーカーでもいれますか?,restaurant,ベビーカー,stroller
お子様メニューはありますか?,Do you have a kids menu?,お子【こ】様【さま】メニューはありますか?,おこさまメニューはありますか?,restaurant,お子様メニュー,kids menu
ご飯大盛りでお願いします。,A large serving of rice please.,ご飯【ごはん】大盛り【おおもり】でお願い【ねがい】します。,ごはんおおもりで、おねがいします。,restaurant,大盛り,large serving
辛くしないでください。,Please don't make it spicy.,辛く【からく】しないでください。,からくしないでください。,restaurant,辛い,spicy
ネギ抜きでお願いします。,Without green onions please.,ネギ抜き【ぬき】でお願い【ねがい】します。,ネギぬきでおねがいします。,restaurant,ネギ,green onion
卵アレルギーがあります。,I have an egg allergy.,卵【たまご】アレルギーがあります。,たまごアレルギーが、あります。,restaurant,卵アレルギー,egg allergy
卵を使っていますか?,Does this contain eggs?,卵【たまご】を使っ【つかっ】ていますか?,たまごを、つかっていますか?,restaurant,卵,egg
おすすめは何ですか?,What do you recommend?,おすすめは何【なん】ですか?,おすすめはなんですか?,restaurant,おすすめ,recommendation
本日のランチは何ですか?,What's today's lunch special?,本日【ほんじつ】のランチは何【なん】ですか?,ほんじつのランチはなんですか?,restaurant,本日のランチ,today's lunch
セットにできますか?,Can I make it a set?,セットにできますか?,セットにできますか?,restaurant,セット,set
ドリンクバーはありますか?,Do you have a drink bar?,ドリンクバーはありますか?,ドリンクバーはありますか?,restaurant,ドリンクバー,drink bar
食べ放題はいくらですか?,How much is all-you-can-eat?,食べ【たべ】放題【ほうだい】はいくらですか?,たべほうだいはいくらですか?,restaurant,食べ放題,all-you-can-eat
飲み放題をつけますか?,Would you like all-you-can-drink?,飲み【のみ】放題【ほうだい】をつけますか?,のみほうだいを、つけますか?,restaurant,飲み放題,all-you-can-drink
まだ注文していいですか?,Can I still order?,まだ注文【ちゅうもん】していいですか?,まだちゅうもんしていいですか?,restaurant,まだ,still
追加注文をお願いします。,I'd like to order more.,追加【ついか】注文【ちゅうもん】をお願い【ねがい】します。,ついかちゅうもんを、おねがいします。,restaurant,追加注文,extra order
もう少し待ってください。,Please wait a little longer.,もう少し【すこし】待っ【まっ】てください。,もうすこしまってください。,restaurant,もう少し,a little more
すみません注文いいですか?,Excuse me may I order?,すみません注文【ちゅうもん】いいですか?,すみません、ちゅうもんいいですか?,restaurant,注文,order
お水のおかわりをください。,More water please.,お水【みず】のおかわりをください。,おみずのおかわりを、ください。,restaurant,お水,water
取り皿をいただけますか?,Could I have a small plate?,取り皿【とりざら】をいただけますか?,とりざらを、いただけますか?,restaurant,取り皿,small plate
ナプキンをもらえますか?,Could I have a napkin?,ナプキンをもらえますか?,ナプキンを、もらえますか?,restaurant,ナプキン,napkin
おしぼりをください。,Wet towel please.,おしぼりをください。,おしぼりを、ください。,restaurant,おしぼり,wet towel
お冷やをください。,Cold water please.,お冷や【ひや】をください。,おひやを、ください。,restaurant,お冷や,cold water
熱いお茶をください。,Hot tea please.,熱い【あつい】お茶【ちゃ】をください。,あついおちゃを、ください。,restaurant,お茶,tea
これ私の一番好きな料理。,This is my favorite dish.,これ私【わたし】の一番【いちばん】好き【すき】な料理【りょうり】。,これ、わたしのいちばんすきなりょうり。,restaurant,一番,favorite
何にする?一緒のにしようか。,What are you having? Should we get the same thing?,何【なに】にする?一緒【いっしょ】のにしようか。,なににする?いっしょのにしようか。,restaurant,一緒,together
今日は私がご馳走します。,It's my treat today.,今日【きょう】は私【わたくし】がご馳走【ちそう】します。,きょうはわたくしが、ごちそうします。,restaurant,ご馳走,treat
ご馳走になります。,Thank you for the meal.,ご馳走【ちそう】になります。,ごちそうになります。,restaurant,ご馳走,treat
とても美味しかったです。,It was very delicious.,とても美味しかっ【おいしかっ】たです。,とてもおいしかったです。,restaurant,美味しい,delicious
また来たいです。,I'd like to come again.,また来【き】たいです。,また、きたいです。,restaurant,美味しい,delicious
雰囲気がいいお店ですね。,This place has nice atmosphere.,雰囲気【ふんいき】がいいお店【みせ】ですね。,ふんいきが、いいおみせですね。,restaurant,雰囲気,atmosphere
サービスが良かった。,The service was good.,サービスが良かっ【よかっ】た。,サービスが、よかった。,restaurant,サービス,service
デザートは別腹だよね。,There's always room for dessert.,デザートは別腹【べつばら】だよね。,デザートはべつばらだよね。,restaurant,別腹,dessert stomach
コーヒーで締めよう。,Let's finish with coffee.,コーヒーで締めよう【しめよう】。,コーヒーでしめよう。,restaurant,締める,finish/wrap up
長居してしまった。,We stayed too long.,長居【ながい】してしまった。,ながいしてしまった。,restaurant,長居,staying long
そろそろ帰ろうか。,Shall we head home?,そろそろ帰ろう【かえろう】か。,そろそろかえろうか。,restaurant,帰る,go home
お腹いっぱいになった。,I'm full.,お腹【おなか】いっぱいになった。,おおなかいっぱいになった。,restaurant,お腹いっぱい,full
食べ過ぎちゃった。,I ate too much.,食べ【たべ】過ぎ【すぎ】ちゃった。,たべすぎちゃった。,restaurant,食べ過ぎる,eat too much
美味しかったね。,It was delicious wasn't it.,美味しかっ【おいしかっ】たね。,おいしかったね。,restaurant,美味しい,delicious
今度は別のお店に行こう。,Let's go to a different place next time.,今度【こんど】は別【べつ】のお店【みせ】に行こう【いこう】。,こんどはべつのおみせにいこう。,restaurant,今度,next time
起きる時間だよ。,It's time to wake up.,起きる【おきる】時間【じかん】だよ。,おきるじかんだよ。,daily-routine,起きる,wake up
朝ごはんを食べなさい。,Eat your breakfast.,朝ごはん【あさごはん】を食べ【たべ】なさい。,あさごはんを、たべなさい。,daily-routine,朝ごはん,breakfast
歯を磨いた?,Did you brush your teeth?,歯【は】を磨い【みがい】た?,はを、みがいた?,daily-routine,歯を磨く,brush teeth
顔を洗ってきて。,Go wash your face.,顔【かお】を洗っ【あらっ】てきて。,かおを、あらってきて。,daily-routine,顔を洗う,wash face
着替えなさい。,Get changed.,着替え【きがえ】なさい。,きがえなさい。,daily-routine,着替える,change clothes
忘れ物ない?,Do you have everything?,忘れ物【わすれもの】ない?,わすれものない?,daily-routine,忘れ物,forgotten item
いってらっしゃい。,Have a good day.,いってらっしゃい。,いってらっしゃい。,daily-routine,いってらっしゃい,have a good day
おかえりなさい。,Welcome home.,おかえりなさい。,おかえりなさい。,daily-routine,おかえりなさい,welcome back
手を洗ってね。,Wash your hands.,手【て】を洗っ【あらっ】てね。,てを、あらってね。,daily-routine,手,hand-wash
うがいをしてね。,Gargle please.,うがいをしてね。,うがいを、してね。,daily-routine,うがい,gargle
宿題やった?,Did you do your homework?,宿題【しゅくだい】やった?,しゅくだいやった?,daily-routine,宿題,homework
おやつを食べていいよ。,You can have a snack.,おやつを食べ【たべ】ていいよ。,おやつを、たべていいよ。,daily-routine,おやつ,snack
テレビは宿題の後でね。,TV after homework.,テレビは宿題【しゅくだい】の後【あと】でね。,テレビはしゅくだいのあとでね。,daily-routine,後,after
お風呂に入りなさい。,Take a bath.,お風呂【ふろ】に入り【はいり】なさい。,おふろにはいりなさい。,daily-routine,風呂,bath
もう寝る時間だよ。,It's bedtime.,もう寝る【ねる】時間【じかん】だよ。,もうねるじかんだよ。,daily-routine,寝る時間,bedtime
おやすみなさい。,Good night.,おやすみなさい。,おやすみなさい。,daily-routine,おやすみなさい,good night
電気を消して。,Turn off the light.,電気【でんき】を消し【けし】て。,でんきを、けして。,daily-routine,電気,electricity
早く起きなさい。,Wake up early.,早く【はやく】起き【おき】なさい。,はやくおきなさい。,daily-routine,早く起きる,wake up early
遅刻するよ。,You'll be late.,遅刻【ちこく】するよ。,ちこくするよ。,daily-routine,遅刻,being late
急いで!,Hurry up!,急い【いそい】で!,いそいで!,daily-routine,急いで,hurry
